GO_ID	LEVEL	NAME
GO:0004722	8	protein serine/threonine phosphatase activity
GO:0004723	9	calcium-dependent protein serine/threonine phosphatase activity
GO:0004724	9	magnesium-dependent protein serine/threonine phosphatase activity
GO:0004725	8	protein tyrosine phosphatase activity
GO:0004726	9	non-membrane spanning protein tyrosine phosphatase activity
GO:0004727	9	prenylated protein tyrosine phosphatase activity
GO:0004729	6	oxygen-dependent protoporphyrinogen oxidase activity
GO:0004730	6	pseudouridylate synthase activity
GO:0004731	6	purine-nucleoside phosphorylase activity
GO:0004732	6	pyridoxal oxidase activity
GO:0004733	6	pyridoxamine-phosphate oxidase activity
GO:0004734	6	pyrimidodiazepine synthase activity
GO:0004735	6	pyrroline-5-carboxylate reductase activity
GO:0004736	5	pyruvate carboxylase activity
GO:0004737	6	pyruvate decarboxylase activity
GO:0004738	5	pyruvate dehydrogenase activity
GO:0004739	6	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004740	7	pyruvate dehydrogenase (acetyl-transferring) kinase activity
GO:0004741	8	[pyruvate dehydrogenase (lipoamide)] phosphatase activity
GO:0004742	8	dihydrolipoyllysine-residue acetyltransferase activity
GO:0004743	6	pyruvate kinase activity
GO:0004744	5	retinal isomerase activity
GO:0004745	6	retinol dehydrogenase activity
GO:0004746	5	riboflavin synthase activity
GO:0004747	7	ribokinase activity
GO:0004748	7	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0004749	6	ribose phosphate diphosphokinase activity
GO:0004750	6	ribulose-phosphate 3-epimerase activity
GO:0004751	6	ribose-5-phosphate isomerase activity
GO:0004753	6	saccharopine dehydrogenase activity
GO:0004754	7	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity
GO:0004755	7	saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity
GO:0004756	6	selenide, water dikinase activity
GO:0004757	6	sepiapterin reductase activity
GO:0004758	8	serine C-palmitoyltransferase activity
GO:0004760	6	serine-pyruvate transaminase activity
GO:0004764	6	shikimate 3-dehydrogenase (NADP+) activity
GO:0004765	6	shikimate kinase activity
GO:0004766	5	spermidine synthase activity
GO:0004767	7	sphingomyelin phosphodiesterase activity
GO:0004768	7	stearoyl-CoA 9-desaturase activity
GO:0004769	6	steroid delta-isomerase activity
GO:0004771	6	sterol esterase activity
GO:0004772	7	sterol O-acyltransferase activity
GO:0004773	6	steryl-sulfatase activity
GO:0004774	6	succinate-CoA ligase activity
GO:0004775	7	succinate-CoA ligase (ADP-forming) activity
GO:0004776	7	succinate-CoA ligase (GDP-forming) activity
GO:0004777	7	succinate-semialdehyde dehydrogenase (NAD+) activity
GO:0004778	7	succinyl-CoA hydrolase activity
GO:0004779	7	sulfate adenylyltransferase activity
GO:0004780	8	sulfate adenylyltransferase (ADP) activity
GO:0004781	8	sulfate adenylyltransferase (ATP) activity
GO:0004782	6	sulfinoalanine decarboxylase activity
GO:0004783	6	sulfite reductase (NADPH) activity
GO:0004784	5	superoxide dismutase activity
GO:0004787	8	thiamine-pyrophosphatase activity
GO:0004788	6	thiamine diphosphokinase activity
GO:0004789	5	thiamine-phosphate diphosphorylase activity
GO:0004790	7	thioether S-methyltransferase activity
GO:0004791	6	thioredoxin-disulfide reductase activity
GO:0004792	6	thiosulfate sulfurtransferase activity
GO:0004793	6	threonine aldolase activity
GO:0004794	6	L-threonine ammonia-lyase activity
GO:0004795	6	threonine synthase activity
GO:0004796	5	thromboxane-A synthase activity
GO:0004797	9	thymidine kinase activity
GO:0004798	8	thymidylate kinase activity
GO:0004799	7	thymidylate synthase activity
GO:0004800	4	thyroxine 5'-deiodinase activity
GO:0004801	5	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
GO:0004802	5	transketolase activity
GO:0004803	4	transposase activity
GO:0004805	8	trehalose-phosphatase activity
GO:0004806	6	triglyceride lipase activity
GO:0004807	6	triose-phosphate isomerase activity
GO:0004808	8	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity
GO:0004809	9	tRNA (guanine-N2-)-methyltransferase activity
GO:0004810	9	tRNA adenylyltransferase activity
GO:0004812	5	aminoacyl-tRNA ligase activity
GO:0004813	6	alanine-tRNA ligase activity
GO:0004814	6	arginine-tRNA ligase activity
GO:0004815	6	aspartate-tRNA ligase activity
GO:0004816	6	asparagine-tRNA ligase activity
GO:0004817	6	cysteine-tRNA ligase activity
GO:0004818	6	glutamate-tRNA ligase activity
GO:0004819	6	glutamine-tRNA ligase activity
GO:0004820	6	glycine-tRNA ligase activity
GO:0004821	6	histidine-tRNA ligase activity
GO:0004822	6	isoleucine-tRNA ligase activity
GO:0004823	6	leucine-tRNA ligase activity
GO:0004824	6	lysine-tRNA ligase activity
GO:0004825	6	methionine-tRNA ligase activity
GO:0004826	6	phenylalanine-tRNA ligase activity
GO:0004827	6	proline-tRNA ligase activity
GO:0004828	6	serine-tRNA ligase activity
GO:0004829	6	threonine-tRNA ligase activity
GO:0004830	6	tryptophan-tRNA ligase activity
GO:0004831	6	tyrosine-tRNA ligase activity
GO:0004832	6	valine-tRNA ligase activity
GO:0004833	6	tryptophan 2,3-dioxygenase activity
GO:0004834	6	tryptophan synthase activity
GO:0004835	6	tubulin-tyrosine ligase activity
GO:0004836	4	tyramine-beta hydroxylase activity
GO:0004837	6	tyrosine decarboxylase activity
GO:0004838	7	L-tyrosine:2-oxoglutarate aminotransferase activity
GO:0004839	6	ubiquitin activating enzyme activity
GO:0004842	5	ubiquitin-protein transferase activity
GO:0004843	9	thiol-dependent ubiquitin-specific protease activity
GO:0004844	8	uracil DNA N-glycosylase activity
GO:0004845	6	uracil phosphoribosyltransferase activity
GO:0004846	6	urate oxidase activity
GO:0004847	5	urea carboxylase activity
GO:0004848	6	ureidoglycolate hydrolase activity
GO:0004849	8	uridine kinase activity
GO:0004850	6	uridine phosphorylase activity
GO:0004851	7	uroporphyrin-III C-methyltransferase activity
GO:0004852	6	uroporphyrinogen-III synthase activity
GO:0004853	6	uroporphyrinogen decarboxylase activity
GO:0004854	6	xanthine dehydrogenase activity
GO:0004855	6	xanthine oxidase activity
GO:0004856	7	xylulokinase activity
GO:0004857	4	enzyme inhibitor activity
GO:0004858	5	dUTP pyrophosphatase inhibitor activity
GO:0004859	6	phospholipase inhibitor activity
GO:0004860	6	protein kinase inhibitor activity
GO:0004861	8	cyclin-dependent protein serine/threonine kinase inhibitor activity
GO:0004862	8	cAMP-dependent protein kinase inhibitor activity
GO:0004864	6	protein phosphatase inhibitor activity
GO:0004865	7	protein serine/threonine phosphatase inhibitor activity
GO:0004866	6	endopeptidase inhibitor activity
GO:0004867	7	serine-type endopeptidase inhibitor activity
GO:0004869	7	cysteine-type endopeptidase inhibitor activity
GO:0004873	3	asialoglycoprotein receptor activity
GO:0004875	5	complement receptor activity
GO:0004876	6	complement component C3a receptor activity
GO:0004877	6	complement component C3b receptor activity
GO:0004878	6	complement component C5a receptor activity
GO:0004879	5	nuclear receptor activity
GO:0004883	5	glucocorticoid receptor activity
GO:0004888	4	transmembrane signaling receptor activity
GO:0004890	6	GABA-A receptor activity
GO:0004895	6	cell adhesion receptor activity
GO:0004896	5	cytokine receptor activity
GO:0004897	6	ciliary neurotrophic factor receptor activity
GO:0004900	6	erythropoietin receptor activity
GO:0004901	6	granulocyte macrophage colony-stimulating factor receptor activity
GO:0004902	6	granulocyte colony-stimulating factor receptor activity
GO:0004903	6	growth hormone receptor activity
GO:0004904	6	interferon receptor activity
GO:0004905	7	type I interferon receptor activity
GO:0004906	7	interferon-gamma receptor activity
GO:0004908	6	interleukin-1 receptor activity
GO:0004909	7	interleukin-1, type I, activating receptor activity
GO:0004910	7	interleukin-1, type II, blocking receptor activity
GO:0004911	6	interleukin-2 receptor activity
GO:0004912	6	interleukin-3 receptor activity
GO:0004913	6	interleukin-4 receptor activity
GO:0004914	6	interleukin-5 receptor activity
GO:0004915	6	interleukin-6 receptor activity
GO:0004917	6	interleukin-7 receptor activity
GO:0004918	10	interleukin-8 receptor activity
GO:0004919	6	interleukin-9 receptor activity
GO:0004920	6	interleukin-10 receptor activity
GO:0004921	6	interleukin-11 receptor activity
GO:0004923	7	leukemia inhibitory factor receptor activity
GO:0004924	6	oncostatin-M receptor activity
GO:0004925	6	prolactin receptor activity
GO:0004930	5	G protein-coupled receptor activity
GO:0004931	11	extracellularly ATP-gated cation channel activity
GO:0004932	7	mating-type factor pheromone receptor activity
GO:0004933	8	mating-type a-factor pheromone receptor activity
GO:0004934	8	mating-type alpha-factor pheromone receptor activity
GO:0004935	7	adrenergic receptor activity
GO:0004936	8	alpha-adrenergic receptor activity
GO:0004937	9	alpha1-adrenergic receptor activity
GO:0004938	9	alpha2-adrenergic receptor activity
GO:0004939	8	beta-adrenergic receptor activity
GO:0004940	9	beta1-adrenergic receptor activity
GO:0004941	9	beta2-adrenergic receptor activity
GO:0004945	8	angiotensin type II receptor activity
GO:0004946	8	bombesin receptor activity
GO:0004947	7	bradykinin receptor activity
GO:0004948	8	calcitonin receptor activity
GO:0004949	6	cannabinoid receptor activity
GO:0004950	8	chemokine receptor activity
GO:0004951	7	cholecystokinin receptor activity
GO:0004952	6	dopamine neurotransmitter receptor activity
GO:0004953	6	icosanoid receptor activity
GO:0004954	7	prostanoid receptor activity
GO:0004955	8	prostaglandin receptor activity
GO:0004956	9	prostaglandin D receptor activity
GO:0004957	9	prostaglandin E receptor activity
GO:0004958	9	prostaglandin F receptor activity
GO:0004960	8	thromboxane receptor activity
GO:0004961	9	thromboxane A2 receptor activity
GO:0004962	7	endothelin receptor activity
GO:0004963	5	follicle-stimulating hormone receptor activity
GO:0004964	6	luteinizing hormone receptor activity
GO:0004965	6	G protein-coupled GABA receptor activity
GO:0004966	8	galanin receptor activity
GO:0004967	7	glucagon receptor activity
GO:0004968	6	gonadotropin-releasing hormone receptor activity
GO:0004969	7	histamine receptor activity
GO:0004970	11	ionotropic glutamate receptor activity
GO:0004971	12	AMPA glutamate receptor activity
GO:0004972	12	NMDA glutamate receptor activity
GO:0004974	7	leukotriene receptor activity
GO:0004977	7	melanocortin receptor activity
GO:0004978	8	corticotropin receptor activity
GO:0004979	8	beta-endorphin receptor activity
GO:0004980	8	melanocyte-stimulating hormone receptor activity
GO:0004982	7	N-formyl peptide receptor activity
GO:0004983	8	neuropeptide Y receptor activity
GO:0004984	5	olfactory receptor activity
GO:0004985	7	opioid receptor activity
GO:0004989	7	octopamine receptor activity
GO:0004990	7	oxytocin receptor activity
GO:0004991	6	parathyroid hormone receptor activity
GO:0004992	6	platelet activating factor receptor activity
GO:0004993	7	G protein-coupled serotonin receptor activity
GO:0004994	8	somatostatin receptor activity
GO:0004995	8	tachykinin receptor activity
GO:0004996	6	thyroid-stimulating hormone receptor activity
GO:0004997	6	thyrotropin-releasing hormone receptor activity
GO:0004998	3	transferrin receptor activity
GO:0004999	6	vasoactive intestinal polypeptide receptor activity
GO:0005000	7	vasopressin receptor activity
GO:0005001	9	transmembrane receptor protein tyrosine phosphatase activity
GO:0005003	9	ephrin receptor activity
GO:0005004	10	GPI-linked ephrin receptor activity
GO:0005005	10	transmembrane-ephrin receptor activity
GO:0005006	9	epidermal growth factor-activated receptor activity
GO:0005007	9	fibroblast growth factor-activated receptor activity
GO:0005008	9	hepatocyte growth factor-activated receptor activity
GO:0005009	9	insulin-activated receptor activity
GO:0005010	9	insulin-like growth factor-activated receptor activity
GO:0005011	9	macrophage colony-stimulating factor receptor activity
GO:0005017	9	platelet-derived growth factor-activated receptor activity
GO:0005018	10	platelet-derived growth factor alpha-receptor activity
GO:0005019	10	platelet-derived growth factor beta-receptor activity
GO:0005020	9	stem cell factor receptor activity
GO:0005021	9	vascular endothelial growth factor-activated receptor activity
GO:0005024	9	transforming growth factor beta-activated receptor activity
GO:0005025	10	transforming growth factor beta receptor activity, type I
GO:0005026	10	transforming growth factor beta receptor activity, type II
GO:0005030	4	neurotrophin receptor activity
GO:0005031	6	tumor necrosis factor-activated receptor activity
GO:0005034	5	osmosensor activity
GO:0005035	5	death receptor activity
GO:0005041	4	low-density lipoprotein particle receptor activity
GO:0005042	5	netrin receptor activity
GO:0005043	6	netrin receptor activity involved in chemorepulsion
GO:0005044	3	scavenger receptor activity
GO:0005046	7	KDEL sequence binding
GO:0005047	5	signal recognition particle binding
GO:0005048	5	signal sequence binding
GO:0005049	4	nuclear export signal receptor activity
GO:0005052	7	peroxisome matrix targeting signal-1 binding
GO:0005053	7	peroxisome matrix targeting signal-2 binding
GO:0005055	6	laminin receptor activity
GO:0005056	5	tiggrin receptor activity
GO:0005068	9	transmembrane receptor protein tyrosine kinase adaptor activity
GO:0005078	6	MAP-kinase scaffold activity
GO:0005080	7	protein kinase C binding
GO:0005085	6	guanyl-nucleotide exchange factor activity
GO:0005086	7	ARF guanyl-nucleotide exchange factor activity
GO:0005087	9	Ran guanyl-nucleotide exchange factor activity
GO:0005088	8	Ras guanyl-nucleotide exchange factor activity
GO:0005089	9	Rho guanyl-nucleotide exchange factor activity
GO:0005090	7	Sar guanyl-nucleotide exchange factor activity
GO:0005091	6	guanyl-nucleotide exchange factor adaptor activity
GO:0005092	6	GDP-dissociation inhibitor activity
GO:0005093	7	Rab GDP-dissociation inhibitor activity
GO:0005094	7	Rho GDP-dissociation inhibitor activity
GO:0005095	6	GTPase inhibitor activity
GO:0005096	6	GTPase activator activity
GO:0005102	4	signaling receptor binding
GO:0005104	6	fibroblast growth factor receptor binding
GO:0005105	7	type 1 fibroblast growth factor receptor binding
GO:0005109	6	frizzled binding
GO:0005111	7	type 2 fibroblast growth factor receptor binding
GO:0005112	5	Notch binding
GO:0005113	5	patched binding
GO:0005114	7	type II transforming growth factor beta receptor binding
GO:0005115	5	receptor tyrosine kinase-like orphan receptor binding
GO:0005117	5	wishful thinking binding
GO:0005118	5	sevenless binding
GO:0005119	6	smoothened binding
GO:0005121	5	Toll binding
GO:0005122	5	torso binding
GO:0005123	7	death receptor binding
GO:0005124	5	scavenger receptor binding
GO:0005125	6	cytokine activity
GO:0005126	5	cytokine receptor binding
GO:0005127	6	ciliary neurotrophic factor receptor binding
GO:0005128	6	erythropoietin receptor binding
GO:0005129	6	granulocyte macrophage colony-stimulating factor receptor binding
GO:0005130	6	granulocyte colony-stimulating factor receptor binding
GO:0005131	6	growth hormone receptor binding
GO:0005132	6	type I interferon receptor binding
GO:0005133	6	interferon-gamma receptor binding
GO:0005134	6	interleukin-2 receptor binding
GO:0005135	6	interleukin-3 receptor binding
GO:0005136	6	interleukin-4 receptor binding
GO:0005137	6	interleukin-5 receptor binding
GO:0005138	6	interleukin-6 receptor binding
GO:0005139	6	interleukin-7 receptor binding
GO:0005140	6	interleukin-9 receptor binding
GO:0005141	6	interleukin-10 receptor binding
GO:0005142	6	interleukin-11 receptor binding
GO:0005143	6	interleukin-12 receptor binding
GO:0005144	6	interleukin-13 receptor binding
GO:0005145	6	interleukin-14 receptor binding
GO:0005146	6	leukemia inhibitory factor receptor binding
GO:0005147	6	oncostatin-M receptor binding
GO:0005148	6	prolactin receptor binding
GO:0005149	6	interleukin-1 receptor binding
GO:0005150	7	interleukin-1, type I receptor binding
GO:0005151	7	interleukin-1, type II receptor binding
GO:0005152	6	interleukin-1 receptor antagonist activity
GO:0005153	8	interleukin-8 receptor binding
GO:0005154	6	epidermal growth factor receptor binding
GO:0005157	6	macrophage colony-stimulating factor receptor binding
GO:0005158	5	insulin receptor binding
GO:0005159	5	insulin-like growth factor receptor binding
GO:0005160	6	transforming growth factor beta receptor binding
GO:0005161	6	platelet-derived growth factor receptor binding
GO:0005163	8	nerve growth factor receptor binding
GO:0005164	7	tumor necrosis factor receptor binding
GO:0005165	6	neurotrophin receptor binding
GO:0005166	7	neurotrophin p75 receptor binding
GO:0005167	7	neurotrophin TRK receptor binding
GO:0005168	8	neurotrophin TRKA receptor binding
GO:0005169	8	neurotrophin TRKB receptor binding
GO:0005170	8	neurotrophin TRKC receptor binding
GO:0005171	6	hepatocyte growth factor receptor binding
GO:0005172	6	vascular endothelial growth factor receptor binding
GO:0005173	6	stem cell factor receptor binding
GO:0005174	7	CD40 receptor binding
GO:0005175	7	CD27 receptor binding
GO:0005176	5	ErbB-2 class receptor binding
GO:0005178	5	integrin binding
GO:0005179	6	hormone activity
GO:0005183	7	gonadotropin hormone-releasing hormone activity
GO:0005184	7	neuropeptide hormone activity
GO:0005185	8	neurohypophyseal hormone activity
GO:0005186	5	pheromone activity
GO:0005198	2	structural molecule activity
GO:0005199	3	structural constituent of cell wall
GO:0005200	3	structural constituent of cytoskeleton
GO:0005201	3	extracellular matrix structural constituent
GO:0005212	3	structural constituent of eye lens
GO:0005213	3	structural constituent of egg chorion
GO:0005214	4	structural constituent of chitin-based cuticle
GO:0005215	2	transporter activity
GO:0005216	6	ion channel activity
GO:0005217	9	intracellular ligand-gated ion channel activity
GO:0005219	12	ryanodine-sensitive calcium-release channel activity
GO:0005220	12	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
GO:0005221	10	intracellular cyclic nucleotide activated cation channel activity
GO:0005222	11	intracellular cAMP-activated cation channel activity
GO:0005223	11	intracellular cGMP-activated cation channel activity
GO:0005225	8	volume-sensitive anion channel activity
GO:0005227	8	calcium activated cation channel activity
GO:0005228	10	intracellular sodium activated potassium channel activity
GO:0005229	10	intracellular calcium activated chloride channel activity
GO:0005230	9	extracellular ligand-gated ion channel activity
GO:0005231	10	excitatory extracellular ligand-gated ion channel activity
GO:0005234	11	extracellularly glutamate-gated ion channel activity
GO:0005237	10	inhibitory extracellular ligand-gated ion channel activity
GO:0005242	11	inward rectifier potassium channel activity
GO:0005243	7	gap junction channel activity
GO:0005244	8	voltage-gated ion channel activity
GO:0005245	10	voltage-gated calcium channel activity
GO:0005246	5	calcium channel regulator activity
GO:0005247	10	voltage-gated chloride channel activity
GO:0005248	10	voltage-gated sodium channel activity
GO:0005249	10	voltage-gated potassium channel activity
GO:0005250	12	A-type (transient outward) potassium channel activity
GO:0005251	11	delayed rectifier potassium channel activity
GO:0005252	11	open rectifier potassium channel activity
GO:0005253	7	anion channel activity
GO:0005254	8	chloride channel activity
GO:0005260	11	intracellularly ATP-gated chloride channel activity
GO:0005261	7	cation channel activity
GO:0005262	9	calcium channel activity
GO:0005267	9	potassium channel activity
GO:0005272	9	sodium channel activity
GO:0005274	10	allantoin:proton symporter activity
GO:0005275	4	amine transmembrane transporter activity
GO:0005277	7	acetylcholine transmembrane transporter activity
GO:0005278	10	acetylcholine:proton antiporter activity
GO:0005280	10	amino acid:proton symporter activity
GO:0005283	11	amino acid:sodium symporter activity
GO:0005287	10	high-affinity basic amino acid transmembrane transporter activity
GO:0005289	11	high-affinity arginine transmembrane transporter activity
GO:0005290	10	L-histidine transmembrane transporter activity
GO:0005291	11	high-affinity L-histidine transmembrane transporter activity
GO:0005292	11	high-affinity lysine transmembrane transporter activity
GO:0005294	10	neutral L-amino acid secondary active transmembrane transporter activity
GO:0005295	12	neutral amino acid:sodium symporter activity
GO:0005297	11	proline:proton symporter activity
GO:0005298	12	proline:sodium symporter activity
GO:0005300	11	high-affinity tryptophan transmembrane transporter activity
GO:0005302	10	L-tyrosine transmembrane transporter activity
GO:0005304	10	L-valine transmembrane transporter activity
GO:0005307	10	choline:sodium symporter activity
GO:0005308	9	creatine transmembrane transporter activity
GO:0005309	12	creatine:sodium symporter activity
GO:0005310	8	dicarboxylic acid transmembrane transporter activity
GO:0005313	10	L-glutamate transmembrane transporter activity
GO:0005314	12	high-affinity glutamate transmembrane transporter activity
GO:0005315	6	inorganic phosphate transmembrane transporter activity
GO:0005316	11	high-affinity inorganic phosphate:sodium symporter activity
GO:0005319	3	lipid transporter activity
GO:0005324	4	long-chain fatty acid transporter activity
GO:0005326	4	neurotransmitter transmembrane transporter activity
GO:0005328	10	neurotransmitter:sodium symporter activity
GO:0005330	12	dopamine:sodium symporter activity
GO:0005332	12	gamma-aminobutyric acid:sodium symporter activity
GO:0005334	12	norepinephrine:sodium symporter activity
GO:0005335	12	serotonin:sodium symporter activity
GO:0005337	5	nucleoside transmembrane transporter activity
GO:0005338	5	nucleotide-sugar transmembrane transporter activity
GO:0005340	8	nucleotide-sulfate transmembrane transporter activity
GO:0005342	4	organic acid transmembrane transporter activity
GO:0005343	10	organic acid:sodium symporter activity
GO:0005344	3	oxygen carrier activity
GO:0005345	5	purine nucleobase transmembrane transporter activity
GO:0005346	7	purine ribonucleotide transmembrane transporter activity
GO:0005347	8	ATP transmembrane transporter activity
GO:0005350	5	pyrimidine nucleobase transmembrane transporter activity
GO:0005351	10	carbohydrate:proton symporter activity
GO:0005352	10	alpha-glucoside:proton symporter activity
GO:0005353	8	fructose transmembrane transporter activity
GO:0005354	8	galactose transmembrane transporter activity
GO:0005355	8	glucose transmembrane transporter activity
GO:0005356	12	glucose:proton symporter activity
GO:0005358	12	high-affinity glucose:proton symporter activity
GO:0005359	12	low-affinity glucose:proton symporter activity
GO:0005360	12	insulin-responsive glucose:proton symporter activity
GO:0005362	11	low-affinity glucose:sodium symporter activity
GO:0005363	7	maltose transmembrane transporter activity
GO:0005364	11	maltose:proton symporter activity
GO:0005365	7	myo-inositol transmembrane transporter activity
GO:0005366	10	myo-inositol:proton symporter activity
GO:0005367	10	myo-inositol:sodium symporter activity
GO:0005368	8	taurine transmembrane transporter activity
GO:0005369	11	taurine:sodium symporter activity
GO:0005371	9	tricarboxylate secondary active transmembrane transporter activity
GO:0005372	5	water transmembrane transporter activity
GO:0005375	9	copper ion transmembrane transporter activity
GO:0005381	9	iron ion transmembrane transporter activity
GO:0005384	9	manganese ion transmembrane transporter activity
GO:0005385	9	zinc ion transmembrane transporter activity
GO:0005388	9	calcium transmembrane transporter activity, phosphorylative mechanism
GO:0005391	10	sodium:potassium-exchanging ATPase activity
GO:0005402	8	carbohydrate:cation symporter activity
GO:0005412	10	glucose:sodium symporter activity
GO:0005415	10	nucleoside:sodium symporter activity
GO:0005416	9	amino acid:cation symporter activity
GO:0005427	8	proton-dependent oligopeptide secondary active transmembrane transporter activity
GO:0005432	10	calcium:sodium antiporter activity
GO:0005436	10	sodium:phosphate symporter activity
GO:0005451	10	monovalent cation:proton antiporter activity
GO:0005452	7	inorganic anion exchanger activity
GO:0005456	7	CMP-N-acetylneuraminate transmembrane transporter activity
GO:0005457	7	GDP-fucose transmembrane transporter activity
GO:0005458	7	GDP-mannose transmembrane transporter activity
GO:0005459	7	UDP-galactose transmembrane transporter activity
GO:0005460	7	UDP-glucose transmembrane transporter activity
GO:0005461	7	UDP-glucuronic acid transmembrane transporter activity
GO:0005462	7	UDP-N-acetylglucosamine transmembrane transporter activity
GO:0005463	7	UDP-N-acetylgalactosamine transmembrane transporter activity
GO:0005464	7	UDP-xylose transmembrane transporter activity
GO:0005469	11	succinate:fumarate antiporter activity
GO:0005471	9	ATP:ADP antiporter activity
GO:0005476	9	carnitine:acyl carnitine antiporter activity
GO:0005477	10	pyruvate secondary active transmembrane transporter activity
GO:0005483	5	soluble NSF attachment protein activity
GO:0005484	5	SNAP receptor activity
GO:0005488	2	binding
GO:0005496	4	steroid binding
GO:0005497	4	androgen binding
GO:0005499	5	vitamin D binding
GO:0005500	5	juvenile hormone binding
GO:0005501	5	retinoid binding
GO:0005502	7	11-cis retinal binding
GO:0005503	7	all-trans retinal binding
GO:0005504	7	fatty acid binding
GO:0005506	7	iron ion binding
GO:0005507	7	copper ion binding
GO:0005509	6	calcium ion binding
GO:0005513	7	detection of calcium ion
GO:0005515	3	protein binding
GO:0005516	4	calmodulin binding
GO:0005518	4	collagen binding
GO:0005519	5	cytoskeletal regulatory protein binding
GO:0005520	5	insulin-like growth factor binding
GO:0005521	4	lamin binding
GO:0005522	4	profilin binding
GO:0005523	5	tropomyosin binding
GO:0005524	9	ATP binding
GO:0005525	9	GTP binding
GO:0005527	4	macrolide binding
GO:0005528	5	FK506 binding
GO:0005534	5	galactose binding
GO:0005536	5	glucose binding
GO:0005537	5	mannose binding
GO:0005539	4	glycosaminoglycan binding
GO:0005540	6	hyaluronic acid binding
GO:0005542	6	folic acid binding
GO:0005543	5	phospholipid binding
GO:0005544	6	calcium-dependent phospholipid binding
GO:0005545	7	1-phosphatidylinositol binding
GO:0005546	9	phosphatidylinositol-4,5-bisphosphate binding
GO:0005547	8	phosphatidylinositol-3,4,5-trisphosphate binding
GO:0005548	4	phospholipid transporter activity
GO:0005549	3	odorant binding
GO:0005550	4	pheromone binding
GO:0005575	1	cellular_component
GO:0005576	3	extracellular region
GO:0005577	3	fibrinogen complex
GO:0005579	5	membrane attack complex
GO:0005581	3	collagen trimer
GO:0005582	5	collagen type XV trimer
GO:0005583	4	fibrillar collagen trimer
GO:0005584	5	collagen type I trimer
GO:0005585	5	collagen type II trimer
GO:0005586	5	collagen type III trimer
GO:0005587	5	collagen type IV trimer
GO:0005588	5	collagen type V trimer
GO:0005589	4	collagen type VI trimer
GO:0005590	5	collagen type VII trimer
GO:0005591	6	collagen type VIII trimer
GO:0005592	5	collagen type XI trimer
GO:0005593	4	FACIT collagen trimer
GO:0005594	5	collagen type IX trimer
GO:0005595	5	collagen type XII trimer
GO:0005596	5	collagen type XIV trimer
GO:0005597	5	collagen type XVI trimer
GO:0005598	4	short-chain collagen trimer
GO:0005599	6	collagen type X trimer
GO:0005600	6	collagen type XIII trimer
GO:0005601	3	classical-complement-pathway C3/C5 convertase complex
GO:0005602	3	complement component C1 complex
GO:0005604	5	basement membrane
GO:0005606	4	laminin-1 complex
GO:0005607	4	laminin-2 complex
GO:0005608	4	laminin-3 complex
GO:0005609	4	laminin-4 complex
GO:0005610	4	laminin-5 complex
GO:0005611	4	laminin-6 complex
GO:0005612	4	laminin-7 complex
GO:0005614	5	interstitial matrix
GO:0005615	3	extracellular space
GO:0005616	3	larval serum protein complex
GO:0005618	4	cell wall
GO:0005619	6	ascospore wall
GO:0005621	3	cellular bud scar
GO:0005622	2	intracellular
GO:0005628	4	prospore membrane
GO:0005630	3	dityrosine layer of spore wall
GO:0005631	3	chitosan layer of spore wall
GO:0005632	3	inner layer of spore wall
GO:0005633	7	ascus lipid droplet
GO:0005634	6	nucleus
GO:0005635	5	nuclear envelope
GO:0005637	6	nuclear inner membrane
GO:0005638	8	lamin filament
GO:0005639	6	integral component of nuclear inner membrane
GO:0005640	7	nuclear outer membrane
GO:0005641	7	nuclear envelope lumen
GO:0005642	5	annulate lamellae
GO:0005643	3	nuclear pore
GO:0005652	3	nuclear lamina
GO:0005654	3	nucleoplasm
GO:0005655	8	nucleolar ribonuclease P complex
GO:0005656	5	nuclear pre-replicative complex
GO:0005657	3	replication fork
GO:0005658	9	alpha DNA polymerase:primase complex
GO:0005662	3	DNA replication factor A complex
GO:0005663	3	DNA replication factor C complex
GO:0005664	4	nuclear origin of replication recognition complex
GO:0005665	9	RNA polymerase II, core complex
GO:0005666	9	RNA polymerase III complex
GO:0005667	3	transcription regulator complex
GO:0005668	5	RNA polymerase transcription factor SL1 complex
GO:0005669	5	transcription factor TFIID complex
GO:0005671	9	Ada2/Gcn5/Ada3 transcription activator complex
GO:0005672	5	transcription factor TFIIA complex
GO:0005673	5	transcription factor TFIIE complex
GO:0005674	5	transcription factor TFIIF complex
GO:0005675	9	transcription factor TFIIH holo complex
GO:0005677	3	chromatin silencing complex
GO:0005680	7	anaphase-promoting complex
GO:0005681	4	spliceosomal complex
GO:0005682	6	U5 snRNP
GO:0005683	5	U7 snRNP
GO:0005684	5	U2-type spliceosomal complex
GO:0005685	6	U1 snRNP
GO:0005686	6	U2 snRNP
GO:0005687	6	U4 snRNP
GO:0005688	6	U6 snRNP
GO:0005689	5	U12-type spliceosomal complex
GO:0005690	6	U4atac snRNP
GO:0005691	6	U6atac snRNP
