DE_gene		UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
Pa_1_17480	OG0001720	tr|Q2H4M3|Q2H4M3_CHAGB	tr|A7UW04|A7UW04_NEUCR	tr|F7VUT5|F7VUT5_SORMK	tr|G0RGD8|G0RGD8_HYPJQ	Pa_1_17480|chrm1|Putative
Pa_1_17490	OG0000308	tr|Q2H1W1|Q2H1W1_CHAGB, tr|Q2HEM4|Q2HEM4_CHAGB				Pa_1_17490|chrm1|Putative, Pa_1_4770|chrm1|Putative, Pa_1_6420|chrm1|Putative, Pa_2_4580|chrm2|Putative, Pa_2_4940|chrm2|Putative, Pa_5_1330|chrm5|Putative, Pa_5_3560|chrm5|Putative, Pa_6_6380|chrm6|Putative
Pa_1_17500	OG0004971	tr|Q2H4I2|Q2H4I2_CHAGB	tr|Q7SER5|Q7SER5_NEUCR	tr|F7VUU2|F7VUU2_SORMK	tr|G0RGG9|G0RGG9_HYPJQ	Pa_1_17500|chrm1|Putative
Pa_1_17550	OG0002339	tr|Q2H4M0|Q2H4M0_CHAGB	tr|Q7SE34|Q7SE34_NEUCR	tr|F7VUT6|F7VUT6_SORMK	tr|G0RMM0|G0RMM0_HYPJQ	Pa_1_17550|chrm1|Putative
Pa_1_1760	OG0004555	tr|Q2HCW5|Q2HCW5_CHAGB	tr|Q7SGV4|Q7SGV4_NEUCR	tr|F7VXW7|F7VXW7_SORMK	tr|G0RJZ7|G0RJZ7_HYPJQ	Pa_1_1760|chrm1|Putative
Pa_1_17610	OG0001817	tr|Q2H5W7|Q2H5W7_CHAGB	tr|Q7SE74|Q7SE74_NEUCR	tr|F7VL45|F7VL45_SORMK	tr|G0R704|G0R704_HYPJQ	Pa_1_17610|chrm1|Putative
Pa_1_17660	OG0003418	sp|Q2H4H9|COQ4_CHAGB	sp|Q7SEQ9|COQ4_NEUCR	tr|F7VUU9|F7VUU9_SORMK	tr|G0RGG2|G0RGG2_HYPJQ	Pa_1_17660|chrm1|Putative
Pa_1_17730	OG0005505	tr|Q2H5V7|Q2H5V7_CHAGB	tr|A7UW53|A7UW53_NEUCR	tr|F7VL34|F7VL34_SORMK	tr|G0RPY2|G0RPY2_HYPJQ	Pa_1_17730|chrm1|Putative
Pa_1_17750	OG0001477	tr|Q2H5V5|Q2H5V5_CHAGB	tr|Q7SD26|Q7SD26_NEUCR	tr|F7VL32|F7VL32_SORMK	tr|G0RE50|G0RE50_HYPJQ	Pa_1_17750|chrm1|Putative
Pa_1_17860	OG0005804	tr|Q2H5U1|Q2H5U1_CHAGB	tr|Q7SGY4|Q7SGY4_NEUCR	tr|F7VL24|F7VL24_SORMK	tr|G0RXJ6|G0RXJ6_HYPJQ	Pa_1_17860|chrm1|Putative
Pa_1_1790	OG0001002	tr|Q2HCY6|Q2HCY6_CHAGB	tr|Q7S9G2|Q7S9G2_NEUCR, tr|Q7SCV5|Q7SCV5_NEUCR	tr|F7VR88|F7VR88_SORMK	tr|G0RN00|G0RN00_HYPJQ	Pa_1_1790|chrm1|Putative
Pa_1_17920	OG0004179	tr|Q2H5T3|Q2H5T3_CHAGB	tr|Q7S2I7|Q7S2I7_NEUCR	tr|F7VKT1|F7VKT1_SORMK	tr|G0RDM7|G0RDM7_HYPJQ	Pa_1_17920|chrm1|Putative
Pa_1_17940	OG0000515	tr|Q2H1H9|Q2H1H9_CHAGB	tr|Q7S0G7|Q7S0G7_NEUCR	tr|F7VZF4|F7VZF4_SORMK, tr|F7WAT9|F7WAT9_SORMK	tr|G0R941|G0R941_HYPJQ, tr|G0RVN3|G0RVN3_HYPJQ	Pa_1_17940|chrm1|Putative, Pa_6_670|chrm6|Putative
Pa_1_17942	OG0009225					Pa_1_17942|chrm1|Putative, Pa_5_12020|chrm5|Putative
Pa_1_17950	OG0009224					Pa_1_17950|chrm1|Putative, Pa_4_8050|chrm4|Putative
Pa_1_18000	OG0000956	tr|Q2GQ61|Q2GQ61_CHAGB, tr|Q2HHE9|Q2HHE9_CHAGB				Pa_1_1175|chrm1|Putative, Pa_1_18000|chrm1|Putative, Pa_5_6405|chrm5|Putative, Pa_5_6407|chrm5|Putative
Pa_1_18010	OG0007266	tr|Q2GYY3|Q2GYY3_CHAGB			tr|G0R9T3|G0R9T3_HYPJQ	Pa_1_18010|chrm1|Putative
Pa_1_18020	OG0007391	tr|Q2GU17|Q2GU17_CHAGB, tr|Q2H7R9|Q2H7R9_CHAGB				Pa_1_18020|chrm1|Putative
Pa_1_18040	OG0000779			tr|F7WAE6|F7WAE6_SORMK		Pa_1_18040|chrm1|Putative, Pa_2_4550|chrm2|Putative, Pa_3_10500|chrm3|Putative, Pa_4_400|chrm4|Putative, Pa_5_7570|chrm5|Putative, Pa_5_7580|chrm5|Putative
Pa_1_18050	OG0009257					Pa_1_18050|chrm1|Putative, Pa_3_10520|chrm3|Putative
Pa_1_18060	OG0003007	tr|Q2H1E8|Q2H1E8_CHAGB	tr|V5IQI8|V5IQI8_NEUCR	tr|F7VN19|F7VN19_SORMK		Pa_1_18060|chrm1|Putative, Pa_6_9410|chrm6|Putative
Pa_1_18090	OG0005853	tr|Q2H5S3|Q2H5S3_CHAGB	tr|V5IR89|V5IR89_NEUCR	tr|F7VKQ0|F7VKQ0_SORMK	tr|G0RVI1|G0RVI1_HYPJQ	Pa_1_18090|chrm1|Putative
Pa_1_1810	OG0000356	tr|Q2GRY2|Q2GRY2_CHAGB, tr|Q2HCX6|Q2HCX6_CHAGB	tr|Q7RWL7|Q7RWL7_NEUCR, tr|Q7SCV1|Q7SCV1_NEUCR	tr|F7VKE5|F7VKE5_SORMK, tr|F7VMS4|F7VMS4_SORMK	tr|G0RN02|G0RN02_HYPJQ	Pa_1_1810|chrm1|Putative, Pa_4_6290|chrm4|Putative
Pa_1_18150	OG0000155	tr|Q2H8F9|Q2H8F9_CHAGB	tr|Q7S8T1|Q7S8T1_NEUCR	tr|F7VRG6|F7VRG6_SORMK	tr|G0RFJ3|G0RFJ3_HYPJQ, tr|G0RFM9|G0RFM9_HYPJQ, tr|G0RRQ8|G0RRQ8_HYPJQ, tr|G0RU07|G0RU07_HYPJQ, tr|G0RWA2|G0RWA2_HYPJQ, tr|G0RWK8|G0RWK8_HYPJQ	Pa_1_18150|chrm1|Putative, Pa_3_2630|chrm3|Putative, Pa_3_2640|chrm3|Putative, Pa_3_5665|chrm3|Putative
Pa_1_18160	OG0000188	tr|Q2H7X1|Q2H7X1_CHAGB, tr|Q2HDZ1|Q2HDZ1_CHAGB		tr|F7VRD6|F7VRD6_SORMK	tr|G0RF54|G0RF54_HYPJQ, tr|G0RG59|G0RG59_HYPJQ, tr|G0RVN9|G0RVN9_HYPJQ, tr|G0RVP0|G0RVP0_HYPJQ, tr|G0RWA7|G0RWA7_HYPJQ, tr|G0RWI6|G0RWI6_HYPJQ, tr|G0RX99|G0RX99_HYPJQ	Pa_1_18160|chrm1|Putative, Pa_1_7140|chrm1|Putative
Pa_1_18230	OG0002759	tr|Q2H5R9|Q2H5R9_CHAGB	tr|Q7S0B7|Q7S0B7_NEUCR	tr|F7VKS0|F7VKS0_SORMK	tr|G0RM90|G0RM90_HYPJQ	Pa_1_18230|chrm1|Putative
Pa_1_1830	OG0000897	tr|Q2HCX2|Q2HCX2_CHAGB	tr|Q7SCT2|Q7SCT2_NEUCR	tr|F7VKE7|F7VKE7_SORMK	tr|G0RN11|G0RN11_HYPJQ	Pa_1_1830|chrm1|Putative, Pa_4_1780|chrm4|Putative
Pa_1_18310	OG0007612		tr|Q1K6D3|Q1K6D3_NEUCR	tr|F7WCC9|F7WCC9_SORMK		Pa_1_18310|chrm1|Putative
Pa_1_18330	OG0004056	tr|Q2H5J9|Q2H5J9_CHAGB	tr|Q7SGD7|Q7SGD7_NEUCR	tr|F7VKL8|F7VKL8_SORMK	tr|G0RG98|G0RG98_HYPJQ	Pa_1_18330|chrm1|Putative
Pa_1_18340	OG0000007	tr|Q2GML2|Q2GML2_CHAGB, tr|Q2GQI7|Q2GQI7_CHAGB, tr|Q2GZU0|Q2GZU0_CHAGB, tr|Q2HIE4|Q2HIE4_CHAGB		tr|F7VZA1|F7VZA1_SORMK, tr|F7W8W1|F7W8W1_SORMK, tr|F7WBX4|F7WBX4_SORMK		Pa_1_1090|chrm1|Putative, Pa_1_1200|chrm1|Putative, Pa_1_16550|chrm1|Putative, Pa_1_18340|chrm1|Putative, Pa_1_22060|chrm1|Putative, Pa_1_22410|chrm1|Putative, Pa_1_4700|chrm1|Putative, Pa_1_5550|chrm1|Putative, Pa_1_570|chrm1|Putative, Pa_2_13550|chrm2|Putative, Pa_2_4570|chrm2|Putative, Pa_2_4760|chrm2|Putative, Pa_2_4875|chrm2|Putative, Pa_2_8040|chrm2|Putative, Pa_3_5670|chrm3|Putative, Pa_3_6350|chrm3|Putative, Pa_3_6560|chrm3|Putative, Pa_4_1120|chrm4|Putative, Pa_4_1720|chrm4|Putative, Pa_4_1800|chrm4|Putative, Pa_4_2140|chrm4|Putative, Pa_4_4730|chrm4|Putative, Pa_5_10010|chrm5|Putative, Pa_5_10170|chrm5|Putative, Pa_5_11730|chrm5|Putative, Pa_5_12575|chrm5|Putative, Pa_5_12640|chrm5|Putative, Pa_5_12680|chrm5|Putative, Pa_5_12908|chrm5|Putative, Pa_5_170|chrm5|Putative, Pa_5_2470|chrm5|Putative, Pa_5_6470|chrm5|Putative, Pa_5_6900|chrm5|Putative, Pa_5_6910|chrm5|Putative, Pa_5_7390|chrm5|Putative, Pa_5_7650|chrm5|Putative, Pa_5_7900|chrm5|Putative, Pa_6_110|chrm6|Putative, Pa_6_2400|chrm6|Putative, Pa_6_470|chrm6|Putative, Pa_6_6160|chrm6|Putative, Pa_6_7500|chrm6|Putative, Pa_6_8460|chrm6|Putative, Pa_7_9390|chrm7|Putative
Pa_1_18350	OG0000729	tr|Q2H363|Q2H363_CHAGB			tr|G0RB68|G0RB68_HYPJQ, tr|G0RBV6|G0RBV6_HYPJQ, tr|G0RCQ9|G0RCQ9_HYPJQ, tr|G0RFJ6|G0RFJ6_HYPJQ, tr|G0RKQ7|G0RKQ7_HYPJQ	Pa_1_18350|chrm1|Putative
Pa_1_18370	OG0009036			tr|F7W5V2|F7W5V2_SORMK		Pa_1_18370|chrm1|Putative
Pa_1_1838	OG0008166	tr|Q2HCX0|Q2HCX0_CHAGB				Pa_1_1838|chrm1|Putative
Pa_1_18390	OG0001024	tr|Q2H5N3|Q2H5N3_CHAGB	tr|Q7SGD9|Q7SGD9_NEUCR	tr|F7VKL6|F7VKL6_SORMK	tr|G0RHT3|G0RHT3_HYPJQ, tr|G0RW44|G0RW44_HYPJQ	Pa_1_18390|chrm1|Putative
Pa_1_1840	OG0006595	tr|Q2HCW9|Q2HCW9_CHAGB	tr|Q7SCL2|Q7SCL2_NEUCR	tr|F7VKE8|F7VKE8_SORMK		Pa_1_1840|chrm1|Putative
Pa_1_18410	OG0005579	tr|Q2H625|Q2H625_CHAGB	tr|Q7SG78|Q7SG78_NEUCR	tr|F7VTH4|F7VTH4_SORMK	tr|G0RX69|G0RX69_HYPJQ	Pa_1_18410|chrm1|Putative
Pa_1_18420	OG0003285	tr|Q2H624|Q2H624_CHAGB	tr|V5IRG9|V5IRG9_NEUCR	tr|F7VL98|F7VL98_SORMK	tr|G0RM06|G0RM06_HYPJQ	Pa_1_18420|chrm1|Putative
Pa_1_18470	OG0002293	tr|Q2H618|Q2H618_CHAGB	tr|Q7SH07|Q7SH07_NEUCR	tr|F7VL94|F7VL94_SORMK	tr|G0RM01|G0RM01_HYPJQ	Pa_1_18470|chrm1|Putative
Pa_1_18485	OG0006093	tr|Q2H615|Q2H615_CHAGB	tr|Q7SH05|Q7SH05_NEUCR	tr|F7VL92|F7VL92_SORMK		Pa_1_18485|chrm1|Putative
Pa_1_18530	OG0001018	tr|Q2H610|Q2H610_CHAGB	tr|F5HHR5|F5HHR5_NEUCR	tr|F7VL87|F7VL87_SORMK	tr|G0RD48|G0RD48_HYPJQ, tr|G0RSC8|G0RSC8_HYPJQ	Pa_1_18530|chrm1|Putative
Pa_1_18550	OG0003805	tr|Q2H609|Q2H609_CHAGB	tr|Q1K949|Q1K949_NEUCR	tr|F7VL85|F7VL85_SORMK	tr|G0RD54|G0RD54_HYPJQ	Pa_1_18550|chrm1|Putative
Pa_1_18560	OG0003653	sp|Q2H608|S2538_CHAGB	sp|Q96U08|S2538_NEUCR	tr|F7VL84|F7VL84_SORMK	tr|G0RD53|G0RD53_HYPJQ	Pa_1_18560|chrm1|Putative
Pa_1_18580	OG0002924	tr|Q2H606|Q2H606_CHAGB	tr|F5HDP0|F5HDP0_NEUCR	tr|F7VL79|F7VL79_SORMK, tr|F7VL82|F7VL82_SORMK		Pa_1_18580|chrm1|Putative
Pa_1_18650	OG0007360	tr|Q2H5Y6|Q2H5Y6_CHAGB			tr|G0RCA6|G0RCA6_HYPJQ	Pa_1_18650|chrm1|Putative
Pa_1_18700	OG0001768	tr|Q2H5Z2|Q2H5Z2_CHAGB	sp|Q9P3S1|PPN1_NEUCR	tr|F7VL67|F7VL67_SORMK	tr|G0RX96|G0RX96_HYPJQ	Pa_1_18700|chrm1|Putative
Pa_1_18730	OG0003331	tr|Q2H5Z6|Q2H5Z6_CHAGB	tr|Q1K943|Q1K943_NEUCR	tr|F7VL70|F7VL70_SORMK	tr|G0RPX5|G0RPX5_HYPJQ	Pa_1_18730|chrm1|Putative
Pa_1_18790	OG0000998	tr|Q2H602|Q2H602_CHAGB	tr|F5HH09|F5HH09_NEUCR	tr|F7VL76|F7VL76_SORMK	tr|G0RBH1|G0RBH1_HYPJQ, tr|G0RSA7|G0RSA7_HYPJQ	Pa_1_18790|chrm1|Putative
Pa_1_18810	OG0004975	tr|Q2H604|Q2H604_CHAGB	tr|F5HFU8|F5HFU8_NEUCR	tr|F7VL78|F7VL78_SORMK	tr|G0RS97|G0RS97_HYPJQ	Pa_1_18810|chrm1|Putative
Pa_1_18820	OG0005453	tr|Q2H5Y1|Q2H5Y1_CHAGB	tr|Q7SE64|Q7SE64_NEUCR	tr|F7VL54|F7VL54_SORMK	tr|G0RCM0|G0RCM0_HYPJQ	Pa_1_18820|chrm1|Putative
Pa_1_18870	OG0005886	tr|Q2H4R0|Q2H4R0_CHAGB	tr|Q7SHV9|Q7SHV9_NEUCR	tr|F7VQL9|F7VQL9_SORMK	tr|G0RKL0|G0RKL0_HYPJQ	Pa_1_18870|chrm1|Putative
Pa_1_190	OG0007483	tr|Q2HCJ6|Q2HCJ6_CHAGB	tr|Q7SDQ5|Q7SDQ5_NEUCR			Pa_1_190|chrm1|Putative
Pa_1_19030	OG0004308	tr|Q2H4G6|Q2H4G6_CHAGB	tr|Q7SEQ0|Q7SEQ0_NEUCR	tr|F7VUV9|F7VUV9_SORMK	tr|G0RGC6|G0RGC6_HYPJQ	Pa_1_19030|chrm1|Putative
Pa_1_19200	OG0006726	tr|Q2H4D5|Q2H4D5_CHAGB	tr|Q7SFS7|Q7SFS7_NEUCR	tr|F7VV08|F7VV08_SORMK		Pa_1_19200|chrm1|Putative
Pa_1_19220	OG0004970	tr|Q2H4D7|Q2H4D7_CHAGB	tr|Q7SF12|Q7SF12_NEUCR	tr|F7VV26|F7VV26_SORMK	tr|G0RMN6|G0RMN6_HYPJQ	Pa_1_19220|chrm1|Putative
Pa_1_19290	OG0000613	tr|Q2H021|Q2H021_CHAGB, tr|Q2H4E6|Q2H4E6_CHAGB	tr|Q7SF24|Q7SF24_NEUCR	tr|F7VV18|F7VV18_SORMK	tr|G0RMP3|G0RMP3_HYPJQ	Pa_1_19290|chrm1|Putative, Pa_4_4770|chrm4|low-affinity
Pa_1_1930	OG0005325	tr|Q2HCW1|Q2HCW1_CHAGB	tr|V5IPW5|V5IPW5_NEUCR	tr|F7VXX2|F7VXX2_SORMK	tr|G0RTE8|G0RTE8_HYPJQ	Pa_1_1930|chrm1|Putative
Pa_1_19310	OG0003166	tr|Q2H4A4|Q2H4A4_CHAGB	sp|P28345|MASY_NEUCR	tr|F7VV16|F7VV16_SORMK	tr|G0RMP6|G0RMP6_HYPJQ	Pa_1_19310|chrm1|Putative
Pa_1_1940	OG0004358	tr|Q2HCW0|Q2HCW0_CHAGB	tr|V5IQP6|V5IQP6_NEUCR	tr|F7VXX3|F7VXX3_SORMK	tr|G0RNL2|G0RNL2_HYPJQ	Pa_1_1940|chrm1|Putative
Pa_1_19400	OG0007200		tr|Q7SF19|Q7SF19_NEUCR	tr|F7VV34|F7VV34_SORMK	tr|G0RG77|G0RG77_HYPJQ	Pa_1_19400|chrm1|Putative
Pa_1_19410	OG0005952	tr|Q2H4A1|Q2H4A1_CHAGB	tr|Q7SF20|Q7SF20_NEUCR	tr|F7VV35|F7VV35_SORMK	tr|G0RG76|G0RG76_HYPJQ	Pa_1_19410|chrm1|Putative
Pa_1_19430	OG0003085	tr|Q2H499|Q2H499_CHAGB	tr|Q1K917|Q1K917_NEUCR	tr|F7VT20|F7VT20_SORMK	tr|G0RQW3|G0RQW3_HYPJQ	Pa_1_19430|chrm1|Putative
Pa_1_19440	OG0006371	tr|Q2H497|Q2H497_CHAGB	tr|V5INW3|V5INW3_NEUCR	tr|F7VT19|F7VT19_SORMK		Pa_1_19440|chrm1|Putative
Pa_1_19470	OG0007894		tr|Q1K920|Q1K920_NEUCR	tr|F7VT15|F7VT15_SORMK		Pa_1_19470|chrm1|Putative
Pa_1_19540	OG0006026	tr|Q2H489|Q2H489_CHAGB	tr|Q7SF41|Q7SF41_NEUCR	tr|F7VT08|F7VT08_SORMK		Pa_1_19540|chrm1|Putative
Pa_1_19610	OG0000137	tr|Q2GQH7|Q2GQH7_CHAGB, tr|Q2GX47|Q2GX47_CHAGB, tr|Q2H474|Q2H474_CHAGB	tr|Q1K8B7|Q1K8B7_NEUCR, tr|Q7SFL8|Q7SFL8_NEUCR	tr|F7VT00|F7VT00_SORMK, tr|F7VXA7|F7VXA7_SORMK	tr|G0RPI9|G0RPI9_HYPJQ, tr|G0RPJ9|G0RPJ9_HYPJQ	Pa_1_19610|chrm1|Putative, Pa_1_19690|chrm1|Putative, Pa_2_4820|chrm2|Putative, Pa_5_10250|chrm5|Putative, Pa_6_10890|chrm6|Putative
Pa_1_19630	OG0000253	tr|Q2H477|Q2H477_CHAGB, tr|Q2H9V2|Q2H9V2_CHAGB	tr|Q7RY82|Q7RY82_NEUCR, tr|Q7SFM3|Q7SFM3_NEUCR	tr|F7VK71|F7VK71_SORMK, tr|F7VSZ4|F7VSZ4_SORMK, tr|F7VSZ5|F7VSZ5_SORMK	tr|G0RPI7|G0RPI7_HYPJQ	Pa_1_19630|chrm1|Putative, Pa_7_5660|chrm7|Putative
Pa_1_19640	OG0001185	tr|Q2GMU3|Q2GMU3_CHAGB, tr|Q2H478|Q2H478_CHAGB	tr|Q7SFM2|Q7SFM2_NEUCR	tr|F7VSZ6|F7VSZ6_SORMK	tr|G0RNL3|G0RNL3_HYPJQ	Pa_1_19640|chrm1|Putative
Pa_1_1970	OG0000465	tr|Q2HCZ5|Q2HCZ5_CHAGB	sp|Q7SFB0|GUS79_NEUCR	tr|F7VKH0|F7VKH0_SORMK	tr|G0R916|G0R916_HYPJQ, tr|G0RB62|G0RB62_HYPJQ, tr|G0RF78|G0RF78_HYPJQ, tr|G0RGT2|G0RGT2_HYPJQ	Pa_1_1970|chrm1|Putative
Pa_1_19700	OG0004708	tr|Q2H473|Q2H473_CHAGB	tr|Q7SFM7|Q7SFM7_NEUCR	tr|F7VSZ1|F7VSZ1_SORMK	tr|G0RPJ0|G0RPJ0_HYPJQ	Pa_1_19700|chrm1|Putative
Pa_1_19750	OG0006003		tr|Q1K6V0|Q1K6V0_NEUCR	tr|F7VZ37|F7VZ37_SORMK	tr|G0R956|G0R956_HYPJQ, tr|G0RW90|G0RW90_HYPJQ	Pa_1_19750|chrm1|Putative
Pa_1_19760	OG0004627	tr|Q2H4K8|Q2H4K8_CHAGB	tr|Q7SER8|Q7SER8_NEUCR	tr|F7VUT9|F7VUT9_SORMK	tr|G0RQJ5|G0RQJ5_HYPJQ	Pa_1_19760|chrm1|Putative
Pa_1_19770	OG0002076	tr|Q2H4C6|Q2H4C6_CHAGB	tr|Q7SFQ8|Q7SFQ8_NEUCR	tr|F7VUZ3|F7VUZ3_SORMK	tr|G0RAM4|G0RAM4_HYPJQ	Pa_1_19770|chrm1|Putative
Pa_1_1980	OG0005816	tr|Q2HCZ6|Q2HCZ6_CHAGB	tr|V5IQD0|V5IQD0_NEUCR	tr|F7VKG9|F7VKG9_SORMK	tr|G0RNP2|G0RNP2_HYPJQ	Pa_1_1980|chrm1|Putative
Pa_1_19830	OG0000731	tr|Q2H4C0|Q2H4C0_CHAGB	tr|Q7SCA5|Q7SCA5_NEUCR, tr|Q7SFQ7|Q7SFQ7_NEUCR	tr|F7VUZ2|F7VUZ2_SORMK, tr|F7WC89|F7WC89_SORMK	tr|G0RMN5|G0RMN5_HYPJQ	Pa_1_19830|chrm1|Putative
Pa_1_19860	OG0001557	tr|Q2H4B7|Q2H4B7_CHAGB	tr|Q7SFQ1|Q7SFQ1_NEUCR	tr|F7VUY6|F7VUY6_SORMK	tr|G0RFZ8|G0RFZ8_HYPJQ	Pa_1_19860|chrm1|Putative
Pa_1_19900	OG0003934	tr|Q2H4F6|Q2H4F6_CHAGB	tr|Q1K907|Q1K907_NEUCR	tr|F7VUX1|F7VUX1_SORMK	tr|G0RAK5|G0RAK5_HYPJQ	Pa_1_19900|chrm1|Putative
Pa_1_19910	OG0000119	tr|Q2H4F5|Q2H4F5_CHAGB, tr|Q2HC68|Q2HC68_CHAGB, tr|Q2HCX9|Q2HCX9_CHAGB	tr|Q7S4K5|Q7S4K5_NEUCR, tr|Q7SCV2|Q7SCV2_NEUCR, tr|Q7SE05|Q7SE05_NEUCR	tr|F7VKE4|F7VKE4_SORMK, tr|F7VUX2|F7VUX2_SORMK, tr|F7VVP9|F7VVP9_SORMK	tr|G0RAK6|G0RAK6_HYPJQ, tr|G0RCE0|G0RCE0_HYPJQ, tr|G0RN07|G0RN07_HYPJQ	Pa_1_1800|chrm1|Putative, Pa_1_19910|chrm1|Putative, Pa_5_2940|chrm5|Putative
Pa_1_19950	OG0000118	tr|Q2H4F1|Q2H4F1_CHAGB, tr|Q2HGR6|Q2HGR6_CHAGB	tr|Q7RYA7|Q7RYA7_NEUCR, tr|V5IPZ1|V5IPZ1_NEUCR	tr|F7VM96|F7VM96_SORMK, tr|F7VUX5|F7VUX5_SORMK	tr|G0R7M8|G0R7M8_HYPJQ, tr|G0R9G0|G0R9G0_HYPJQ, tr|G0RQH3|G0RQH3_HYPJQ, tr|G0RRS0|G0RRS0_HYPJQ, tr|G0RTT0|G0RTT0_HYPJQ, tr|G0RVZ9|G0RVZ9_HYPJQ	Pa_1_19950|chrm1|Putative, Pa_2_930|chrm2|Putative, Pa_6_6990|chrm6|Putative
Pa_1_200	OG0006038	tr|Q2HCJ5|Q2HCJ5_CHAGB	tr|Q7RUV9|Q7RUV9_NEUCR	tr|F7VLK7|F7VLK7_SORMK		Pa_1_200|chrm1|Putative
Pa_1_20010	OG0007775		tr|Q7SHZ4|Q7SHZ4_NEUCR	tr|F7VQJ0|F7VQJ0_SORMK		Pa_1_20010|chrm1|Putative
Pa_1_20090	OG0000900	tr|Q2H4J6|Q2H4J6_CHAGB	tr|Q7SE50|Q7SE50_NEUCR	tr|F7VUS0|F7VUS0_SORMK	tr|G0RHI7|G0RHI7_HYPJQ	Pa_1_20090|chrm1|Putative, Pa_5_4645|chrm5|Putative
Pa_1_2010	OG0003661	tr|Q2HCZ2|Q2HCZ2_CHAGB	tr|Q7SFB2|Q7SFB2_NEUCR	tr|F7VKG8|F7VKG8_SORMK	tr|G0RNP5|G0RNP5_HYPJQ	Pa_1_2010|chrm1|Putative
Pa_1_2020	OG0000680	tr|Q2HCZ1|Q2HCZ1_CHAGB, tr|Q2HF29|Q2HF29_CHAGB	tr|Q7SFB5|Q7SFB5_NEUCR	tr|F7VKG7|F7VKG7_SORMK, tr|F7W509|F7W509_SORMK	tr|G0RNP7|G0RNP7_HYPJQ	Pa_1_2020|chrm1|Putative
Pa_1_20250	OG0005758	tr|Q2H462|Q2H462_CHAGB	tr|Q7SFN6|Q7SFN6_NEUCR	tr|F7VSY1|F7VSY1_SORMK	tr|G0RAH5|G0RAH5_HYPJQ	Pa_1_20250|chrm1|Putative
Pa_1_20260	OG0005803	tr|Q2H453|Q2H453_CHAGB	tr|Q7SE76|Q7SE76_NEUCR	tr|F7VSX1|F7VSX1_SORMK	tr|G0RGH5|G0RGH5_HYPJQ	Pa_1_20260|chrm1|Putative
Pa_1_20270	OG0001335	sp|Q2H454|MET3_CHAGB	sp|Q7SE75|MET3_NEUCR	tr|F7VSX2|F7VSX2_SORMK	tr|G0RGH4|G0RGH4_HYPJQ	Pa_1_20270|chrm1|Putative
Pa_1_20350	OG0004307	tr|Q2H461|Q2H461_CHAGB	tr|V5IQK5|V5IQK5_NEUCR	tr|F7VSY0|F7VSY0_SORMK	tr|G0RAJ7|G0RAJ7_HYPJQ	Pa_1_20350|chrm1|Putative
Pa_1_20360	OG0006561	tr|Q2H452|Q2H452_CHAGB	tr|Q7SE82|Q7SE82_NEUCR	tr|F7VSW5|F7VSW5_SORMK		Pa_1_20360|chrm1|Putative
Pa_1_20370	OG0003501	tr|Q2H451|Q2H451_CHAGB	tr|Q7SE81|Q7SE81_NEUCR	tr|F7VSW6|F7VSW6_SORMK	tr|G0RGI4|G0RGI4_HYPJQ	Pa_1_20370|chrm1|Putative
Pa_1_20430	OG0002630	tr|Q2H446|Q2H446_CHAGB	tr|V5IP35|V5IP35_NEUCR	tr|F7VSW3|F7VSW3_SORMK	tr|G0RGI9|G0RGI9_HYPJQ	Pa_1_20430|chrm1|Putative
Pa_1_2045	OG0007762		tr|Q7SD68|Q7SD68_NEUCR	tr|F7W1N4|F7W1N4_SORMK		Pa_1_2045|chrm1|Putative
Pa_1_20460	OG0005360	tr|Q2H442|Q2H442_CHAGB	tr|Q7SE87|Q7SE87_NEUCR	tr|F7VSW0|F7VSW0_SORMK	tr|G0RMV6|G0RMV6_HYPJQ	Pa_1_20460|chrm1|Putative
Pa_1_20470	OG0007847		tr|Q7SE88|Q7SE88_NEUCR	tr|F7VSV9|F7VSV9_SORMK		Pa_1_20470|chrm1|Putative
Pa_1_20490	OG0007134		tr|Q7SE90|Q7SE90_NEUCR	tr|F7VSV7|F7VSV7_SORMK	tr|G0RMM5|G0RMM5_HYPJQ	Pa_1_20490|chrm1|Putative
Pa_1_205	OG0009256					Pa_1_205|chrm1|Putative, Pa_6_10090|chrm6|Putative
Pa_1_20500	OG0006441	tr|Q2H440|Q2H440_CHAGB	tr|Q7SE91|Q7SE91_NEUCR	tr|F7VSV6|F7VSV6_SORMK		Pa_1_20500|chrm1|Putative
Pa_1_20510	OG0001132	tr|Q2H439|Q2H439_CHAGB	tr|Q7SE92|Q7SE92_NEUCR	tr|F7VSV5|F7VSV5_SORMK	tr|G0RAL4|G0RAL4_HYPJQ	Pa_1_20510|chrm1|Putative, Pa_2_7640|chrm2|Putative
Pa_1_2070	OG0000596	tr|Q2HD02|Q2HD02_CHAGB	tr|Q7SGH7|Q7SGH7_NEUCR	tr|F7VKH9|F7VKH9_SORMK	tr|G0RBG9|G0RBG9_HYPJQ, tr|G0RIB2|G0RIB2_HYPJQ, tr|G0RT33|G0RT33_HYPJQ	Pa_1_2070|chrm1|Putative
