Orthogroup	UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
OG0002736	tr|Q2GNP5|Q2GNP5_CHAGB	tr|Q1K8Z5|Q1K8Z5_NEUCR	tr|F7VPY4|F7VPY4_SORMK	tr|G0RD87|G0RD87_HYPJQ	Pa_3_7360|chrm3|Putative
OG0002737	tr|Q2GNY3|Q2GNY3_CHAGB	sp|Q9P6A5|SEC17_NEUCR	tr|F7VPG1|F7VPG1_SORMK	tr|G0R867|G0R867_HYPJQ	Pa_3_6520|chrm3|Putative
OG0002738	sp|Q2GNY7|YPI1_CHAGB	sp|Q9P6B0|YPI1_NEUCR	tr|F7VPF8|F7VPF8_SORMK	tr|G0R869|G0R869_HYPJQ	Pa_3_6490|chrm3|Putative
OG0002739	tr|Q2GP23|Q2GP23_CHAGB	tr|Q1K557|Q1K557_NEUCR	tr|F7VPB9|F7VPB9_SORMK	tr|G0RJI0|G0RJI0_HYPJQ	Pa_6_5030|chrm6|Putative
OG0002740	tr|Q2GP81|Q2GP81_CHAGB	tr|V5IQ18|V5IQ18_NEUCR	tr|F7VPL3|F7VPL3_SORMK	tr|G0R8A8|G0R8A8_HYPJQ	Pa_3_5020|chrm3|Putative
OG0002741	tr|Q2GQM3|Q2GQM3_CHAGB	tr|Q7S5I8|Q7S5I8_NEUCR	tr|F7W6R1|F7W6R1_SORMK	tr|G0RHZ1|G0RHZ1_HYPJQ	Pa_5_8440|chrm5|Putative
OG0002742	tr|Q2GQS0|Q2GQS0_CHAGB	tr|Q7S1X7|Q7S1X7_NEUCR	tr|F7WAD1|F7WAD1_SORMK	tr|G0RI83|G0RI83_HYPJQ	Pa_5_8830|chrm5|Putative
OG0002743	tr|Q2GSB1|Q2GSB1_CHAGB	tr|Q7S5V8|Q7S5V8_NEUCR	tr|F7W080|F7W080_SORMK	tr|G0RNV2|G0RNV2_HYPJQ	Pa_4_6870|chrm4|Putative
OG0002744	tr|Q2GT94|Q2GT94_CHAGB	tr|Q7S722|Q7S722_NEUCR	tr|F7VWD4|F7VWD4_SORMK	tr|G0RI93|G0RI93_HYPJQ	Pa_4_3210|chrm4|Putative
OG0002745	tr|Q2GUL3|Q2GUL3_CHAGB	tr|Q7S556|Q7S556_NEUCR	tr|F7WBI8|F7WBI8_SORMK	tr|G0R863|G0R863_HYPJQ, tr|G0RV94|G0RV94_HYPJQ	
OG0002746	tr|Q2GW65|Q2GW65_CHAGB	tr|F5HGC3|F5HGC3_NEUCR	tr|F7VYR0|F7VYR0_SORMK	tr|G0RR80|G0RR80_HYPJQ	Pa_2_5490|chrm2|Putative
OG0002747	tr|Q2GXS9|Q2GXS9_CHAGB	tr|V5IL63|V5IL63_NEUCR	tr|F7VX12|F7VX12_SORMK	tr|G0R7H7|G0R7H7_HYPJQ	Pa_2_5823|chrm2|Putative
OG0002748	tr|Q2GY20|Q2GY20_CHAGB	tr|V5IMM6|V5IMM6_NEUCR	tr|F7W719|F7W719_SORMK	tr|G0RM32|G0RM32_HYPJQ	Pa_2_10390|chrm2|Putative
OG0002749	tr|Q2GY35|Q2GY35_CHAGB	tr|Q1K8U9|Q1K8U9_NEUCR	tr|F7W635|F7W635_SORMK	tr|G0RB56|G0RB56_HYPJQ	Pa_5_12720|chrm5|Putative
OG0002750	tr|Q2GYI2|Q2GYI2_CHAGB	tr|Q7S7F0|Q7S7F0_NEUCR	tr|F7W3Y3|F7W3Y3_SORMK	tr|G0RTA1|G0RTA1_HYPJQ	Pa_2_13190|chrm2|Putative
OG0002751	tr|Q2H070|Q2H070_CHAGB	tr|Q7S8K9|Q7S8K9_NEUCR	tr|F7VRM7|F7VRM7_SORMK	tr|G0RKY5|G0RKY5_HYPJQ	Pa_3_4435|chrm3|Putative
OG0002752	tr|Q2H0K7|Q2H0K7_CHAGB	tr|V5INC8|V5INC8_NEUCR	tr|F7VNC9|F7VNC9_SORMK	tr|G0RAS8|G0RAS8_HYPJQ	Pa_6_3440|chrm6|Putative
OG0002753	tr|Q2H0L9|Q2H0L9_CHAGB	tr|V5IQ27|V5IQ27_NEUCR	tr|F7VNE6|F7VNE6_SORMK	tr|G0R983|G0R983_HYPJQ	Pa_6_3340|chrm6|Putative
OG0002754	sp|Q2H2J1|DBP4_CHAGB	sp|Q7RZ35|DBP4_NEUCR	tr|F7VMG4|F7VMG4_SORMK	tr|G0RPI1|G0RPI1_HYPJQ	Pa_1_23380|chrm1|Putative
OG0002755	tr|Q2H301|Q2H301_CHAGB	tr|Q7S863|Q7S863_NEUCR	tr|F7W8M6|F7W8M6_SORMK	tr|G0RB43|G0RB43_HYPJQ	Pa_1_23700|chrm1|Putative
OG0002756	tr|Q2H3M2|Q2H3M2_CHAGB	tr|Q7S0E4|Q7S0E4_NEUCR	tr|F7WC97|F7WC97_SORMK	tr|G0RPJ6|G0RPJ6_HYPJQ	Pa_6_10880|chrm6|Putative
OG0002757	tr|Q2H416|Q2H416_CHAGB	sp|Q7SDZ1|ISN1_NEUCR	tr|F7VST4|F7VST4_SORMK	tr|G0RGA2|G0RGA2_HYPJQ	Pa_1_20720|chrm1|Putative
OG0002758	tr|Q2H4B1|Q2H4B1_CHAGB	tr|Q7SF15|Q7SF15_NEUCR	tr|F7VV30|F7VV30_SORMK	tr|G0RAM9|G0RAM9_HYPJQ	Pa_1_19360|chrm1|Putative
OG0002759	tr|Q2H5R9|Q2H5R9_CHAGB	tr|Q7S0B7|Q7S0B7_NEUCR	tr|F7VKS0|F7VKS0_SORMK	tr|G0RM90|G0RM90_HYPJQ	Pa_1_18230|chrm1|Putative
OG0002760	tr|Q2H6D3|Q2H6D3_CHAGB	tr|U9W360|U9W360_NEUCR	tr|F7VKB3|F7VKB3_SORMK	tr|G0RCW1|G0RCW1_HYPJQ	Pa_7_9245|chrm7|Putative
OG0002761	tr|Q2H6W2|Q2H6W2_CHAGB	sp|P00908|TRPG_NEUCR	tr|F7W305|F7W305_SORMK	tr|G0RRX2|G0RRX2_HYPJQ	Pa_7_10910|chrm7|Putative
OG0002762	tr|Q2H977|Q2H977_CHAGB	sp|Q7S2Z9|TPIS_NEUCR	tr|F7VSH4|F7VSH4_SORMK	tr|G0RJD5|G0RJD5_HYPJQ	Pa_7_7820|chrm7|Putative
OG0002763	tr|Q2H9Z0|Q2H9Z0_CHAGB	tr|Q7RYT9|Q7RYT9_NEUCR	tr|F7VYK7|F7VYK7_SORMK	tr|G0RQB8|G0RQB8_HYPJQ	Pa_7_5290|chrm7|Putative
OG0002764	tr|Q2HAZ6|Q2HAZ6_CHAGB	sp|O13493|MYB1_NEUCR	tr|F7W0K2|F7W0K2_SORMK	tr|G0RV30|G0RV30_HYPJQ	Pa_2_2600|chrm2|Putative
OG0002765	sp|Q2HB00|SEC23_CHAGB	sp|Q9C284|SEC23_NEUCR	tr|F7W0K5|F7W0K5_SORMK	tr|G0RV87|G0RV87_HYPJQ	Pa_2_2520|chrm2|Putative
OG0002766	tr|Q2HCG3|Q2HCG3_CHAGB	tr|Q7SHK5|Q7SHK5_NEUCR	tr|F7VLG2|F7VLG2_SORMK	tr|G0RKS4|G0RKS4_HYPJQ	Pa_1_560|chrm1|Putative
OG0002767	tr|Q2HG74|Q2HG74_CHAGB	tr|Q7SDF5|Q7SDF5_NEUCR	tr|F7VXF4|F7VXF4_SORMK	tr|G0R6P7|G0R6P7_HYPJQ	Pa_1_12410|chrm1|Putative
OG0002768	tr|Q2HGB9|Q2HGB9_CHAGB	tr|Q7S201|Q7S201_NEUCR	tr|F7WA54|F7WA54_SORMK	tr|G0RDE4|G0RDE4_HYPJQ	Pa_1_12770|chrm1|Putative
OG0002769	tr|Q2HGR2|Q2HGR2_CHAGB	tr|Q7S7G6|Q7S7G6_NEUCR	tr|F7W4S3|F7W4S3_SORMK	tr|G0RTD3|G0RTD3_HYPJQ	Pa_2_950|chrm2|Putative
OG0002770	sp|Q2HH38|H2B_CHAGB	sp|P37210|H2B_NEUCR	tr|F7VV81|F7VV81_SORMK	tr|G0RIT4|G0RIT4_HYPJQ	Pa_5_5410|chrm5|Histone
OG0002771	tr|Q2HHD9|Q2HHD9_CHAGB	sp|P33280|ARGI_NEUCR	tr|F7VVI4|F7VVI4_SORMK	tr|G0RU97|G0RU97_HYPJQ	Pa_5_11130|chrm5|Putative
OG0002772	tr|Q2GNW3|Q2GNW3_CHAGB	tr|V5INK3|V5INK3_NEUCR	tr|F7VPG6|F7VPG6_SORMK	tr|G0RL63|G0RL63_HYPJQ	Pa_3_6770|chrm3|Putative
OG0002773	tr|Q2GPB0|Q2GPB0_CHAGB	tr|Q7SCH0|Q7SCH0_NEUCR	tr|F7VZN0|F7VZN0_SORMK	tr|G0R7F7|G0R7F7_HYPJQ	Pa_3_7370|chrm3|Putative
OG0002774	tr|Q2GPK7|Q2GPK7_CHAGB	tr|Q7RVS4|Q7RVS4_NEUCR	tr|F7W5F2|F7W5F2_SORMK	tr|G0RHA1|G0RHA1_HYPJQ	Pa_5_1750|chrm5|Putative
OG0002775	tr|Q2GS20|Q2GS20_CHAGB	tr|Q7RZF4|Q7RZF4_NEUCR	tr|F7VMP3|F7VMP3_SORMK	tr|G0RBC1|G0RBC1_HYPJQ	Pa_4_6600|chrm4|Putative
OG0002776	tr|Q2GSK8|Q2GSK8_CHAGB	tr|Q7RZH1|Q7RZH1_NEUCR	tr|F7W7K8|F7W7K8_SORMK	tr|G0RBC2|G0RBC2_HYPJQ	Pa_4_7960|chrm4|Putative
OG0002777	sp|Q2GSS4|TVP18_CHAGB	sp|Q7S693|TVP18_NEUCR	tr|F7VW17|F7VW17_SORMK	tr|G0RC49|G0RC49_HYPJQ	Pa_4_8470|chrm4|Putative
OG0002778	tr|Q2GT13|Q2GT13_CHAGB	tr|Q7S0J4|Q7S0J4_NEUCR	tr|F7VMU1|F7VMU1_SORMK	tr|G0RWH2|G0RWH2_HYPJQ	Pa_4_3140|chrm4|Putative
OG0002779	sp|Q2GVL1|ATG8_CHAGB	sp|Q8WZY7|ATG8_NEUCR	tr|F7VP68|F7VP68_SORMK	tr|G0RSB1|G0RSB1_HYPJQ	Pa_3_5250|chrm3|ATG8_PODAN
OG0002780	tr|Q2GVN8|Q2GVN8_CHAGB	tr|V5IPL3|V5IPL3_NEUCR	tr|F7VP30|F7VP30_SORMK	tr|G0RP46|G0RP46_HYPJQ	Pa_3_4940|chrm3|Putative
OG0002781	tr|Q2GW10|Q2GW10_CHAGB	tr|F5HGU3|F5HGU3_NEUCR	tr|F7VJW4|F7VJW4_SORMK	tr|G0RSE7|G0RSE7_HYPJQ	Pa_3_7685|chrm3|Putative
OG0002782	tr|Q2GQ82|Q2GQ82_CHAGB, tr|Q2GX02|Q2GX02_CHAGB				Pa_2_8210|chrm2|Putative, Pa_4_290|chrm4|Putative, Pa_5_12880|chrm5|Putative
OG0002783	tr|Q2GXK5|Q2GXK5_CHAGB	sp|Q9HE26|FBRL_NEUCR	tr|F7VWU2|F7VWU2_SORMK	tr|G0RR34|G0RR34_HYPJQ	Pa_2_12100|chrm2|Putative
OG0002784	tr|Q2GYE0|Q2GYE0_CHAGB	tr|Q1K6J3|Q1K6J3_NEUCR	tr|F7W421|F7W421_SORMK	tr|G0RWR0|G0RWR0_HYPJQ	Pa_2_12930|chrm2|Putative
OG0002785	tr|Q2GZM4|Q2GZM4_CHAGB	tr|Q7SAR3|Q7SAR3_NEUCR	tr|F7VRY5|F7VRY5_SORMK	tr|G0R9U2|G0R9U2_HYPJQ	Pa_3_3300|chrm3|Putative
OG0002786	tr|Q2GZS2|Q2GZS2_CHAGB	tr|Q7S9Z6|Q7S9Z6_NEUCR	tr|F7VUE5|F7VUE5_SORMK	tr|G0R8H7|G0R8H7_HYPJQ	Pa_3_1320|chrm3|Putative
OG0002787	tr|Q2GZW4|Q2GZW4_CHAGB	tr|Q7S031|Q7S031_NEUCR	tr|F7VMM1|F7VMM1_SORMK	tr|G0R8V6|G0R8V6_HYPJQ	Pa_3_1530|chrm3|Putative
OG0002788	tr|Q2H065|Q2H065_CHAGB	tr|Q7S8L1|Q7S8L1_NEUCR	tr|F7VRN2|F7VRN2_SORMK	tr|G0RX31|G0RX31_HYPJQ	Pa_3_4360|chrm3|Putative
OG0002789	tr|Q2H081|Q2H081_CHAGB	tr|Q7S909|Q7S909_NEUCR	tr|F7VRL6|F7VRL6_SORMK	tr|G0RAQ8|G0RAQ8_HYPJQ	Pa_3_4200|chrm3|Putative
OG0002790	tr|Q2H0P2|Q2H0P2_CHAGB	tr|Q7SEI4|Q7SEI4_NEUCR	tr|F7W2D7|F7W2D7_SORMK	tr|G0R9P5|G0R9P5_HYPJQ	Pa_6_3180|chrm6|Putative
OG0002791	tr|Q2H0P4|Q2H0P4_CHAGB	sp|Q7SA85|LONP2_NEUCR	sp|F7VNF8|LONP2_SORMK	tr|G0RAY7|G0RAY7_HYPJQ	Pa_6_2970|chrm6|Putative
OG0002792	tr|Q2H193|Q2H193_CHAGB	tr|Q7RZ72|Q7RZ72_NEUCR	tr|F7W8J3|F7W8J3_SORMK	tr|G0RN82|G0RN82_HYPJQ	Pa_6_1000|chrm6|Putative
OG0002793	tr|Q2H1V8|Q2H1V8_CHAGB	tr|Q7RYE4|Q7RYE4_NEUCR	tr|F7VME0|F7VME0_SORMK	tr|G0RTP7|G0RTP7_HYPJQ	Pa_6_6590|chrm6|Putative
OG0002794	tr|Q2H2N8|Q2H2N8_CHAGB	sp|A7UWX2|RT51_NEUCR	tr|F7W8L9|F7W8L9_SORMK	tr|G0RPN3|G0RPN3_HYPJQ	Pa_1_23200|chrm1|Putative
OG0002795	tr|Q2H367|Q2H367_CHAGB	tr|Q7S8U8|Q7S8U8_NEUCR	tr|F7W7P8|F7W7P8_SORMK	tr|G0RKV0|G0RKV0_HYPJQ	Pa_1_24280|chrm1|Putative
OG0002796	tr|Q2H379|Q2H379_CHAGB	tr|Q7S8H7|Q7S8H7_NEUCR	tr|F7W7Q3|F7W7Q3_SORMK	tr|G0RAX7|G0RAX7_HYPJQ	Pa_1_24210|chrm1|Putative
OG0002797	tr|Q2H3L0|Q2H3L0_CHAGB	tr|Q7SGJ0|Q7SGJ0_NEUCR	tr|F7WBA2|F7WBA2_SORMK	tr|G0RTK4|G0RTK4_HYPJQ	Pa_6_10800|chrm6|Putative
OG0002798	tr|Q2H3R4|Q2H3R4_CHAGB	sp|Q02854|NUXM_NEUCR	tr|F7VSK6|F7VSK6_SORMK	tr|G0RFR0|G0RFR0_HYPJQ	Pa_1_22030|chrm1|Putative
OG0002799	tr|Q2H3Z9|Q2H3Z9_CHAGB	tr|V5IQM5|V5IQM5_NEUCR	tr|F7VSS0|F7VSS0_SORMK	tr|G0RGB8|G0RGB8_HYPJQ	Pa_1_20860|chrm1|Putative
OG0002800	tr|Q2H4C1|Q2H4C1_CHAGB	sp|Q7SFQ6|IPI1_NEUCR	tr|F7VUY8|F7VUY8_SORMK	tr|G0RMN4|G0RMN4_HYPJQ	Pa_1_19820|chrm1|Putative
OG0002801	tr|Q2GWH1|Q2GWH1_CHAGB, tr|Q2H5P3|Q2H5P3_CHAGB	tr|Q7S162|Q7S162_NEUCR	tr|F7VKQ4|F7VKQ4_SORMK		Pa_7_4650|chrm7|Putative
OG0002802	tr|Q2H5V0|Q2H5V0_CHAGB	tr|Q7SDG6|Q7SDG6_NEUCR	tr|F7VL30|F7VL30_SORMK	tr|G0RE53|G0RE53_HYPJQ	Pa_1_17770|chrm1|Putative
OG0002803	tr|Q2H665|Q2H665_CHAGB	tr|Q7SGF6|Q7SGF6_NEUCR	tr|F7VKJ9|F7VKJ9_SORMK	tr|G0RRC5|G0RRC5_HYPJQ	Pa_1_16820|chrm1|Putative
OG0002804	tr|Q2H686|Q2H686_CHAGB	sp|Q9Y8C0|TIM8_NEUCR	tr|F7W7I4|F7W7I4_SORMK	tr|G0RJ57|G0RJ57_HYPJQ	Pa_7_8810|chrm7|Putative
OG0002805	tr|Q2H6G5|Q2H6G5_CHAGB	tr|Q7RWT2|Q7RWT2_NEUCR	tr|F7VK88|F7VK88_SORMK	tr|G0RCZ5|G0RCZ5_HYPJQ	Pa_7_9790|chrm7|Putative
OG0002806	tr|Q2H769|Q2H769_CHAGB	tr|Q7S1Q2|Q7S1Q2_NEUCR	tr|F7W954|F7W954_SORMK	tr|G0RF88|G0RF88_HYPJQ	Pa_7_1540|chrm7|Putative
OG0002807	tr|Q2H8V3|Q2H8V3_CHAGB	tr|Q7RXL3|Q7RXL3_NEUCR	tr|F7WAZ5|F7WAZ5_SORMK	tr|G0RQG1|G0RQG1_HYPJQ	Pa_7_2570|chrm7|Putative
OG0002808	tr|Q2H967|Q2H967_CHAGB	tr|Q7RZS1|Q7RZS1_NEUCR	tr|F7VYD9|F7VYD9_SORMK	tr|G0RQB4|G0RQB4_HYPJQ	Pa_7_6080|chrm7|Putative
OG0002809	tr|Q2H9F5|Q2H9F5_CHAGB	tr|Q7RV52|Q7RV52_NEUCR	tr|F7VS89|F7VS89_SORMK	tr|G0R9F2|G0R9F2_HYPJQ	Pa_7_6710|chrm7|Putative
OG0002810	tr|Q2HC66|Q2HC66_CHAGB, tr|Q2HE13|Q2HE13_CHAGB	tr|Q7S4D0|Q7S4D0_NEUCR	tr|F7VVQ7|F7VVQ7_SORMK		Pa_5_2910|chrm5|Putative
OG0002811	tr|Q2HCY2|Q2HCY2_CHAGB	sp|P78714|WC2_NEUCR	tr|F7VKE2|F7VKE2_SORMK	tr|G0RN03|G0RN03_HYPJQ	Pa_1_1870|chrm1|Putative
OG0002812	tr|Q2HDX4|Q2HDX4_CHAGB	tr|Q7SEN6|Q7SEN6_NEUCR	tr|F7W1W4|F7W1W4_SORMK	tr|G0RPX8|G0RPX8_HYPJQ	Pa_1_7000|chrm1|Putative
OG0002813	tr|Q2HEG2|Q2HEG2_CHAGB	tr|V5IQY5|V5IQY5_NEUCR	tr|F7VKJ3|F7VKJ3_SORMK	tr|G0RRA6|G0RRA6_HYPJQ	Pa_1_8920|chrm1|Putative
OG0002814	tr|Q2HEQ6|Q2HEQ6_CHAGB	tr|Q7SFG4|Q7SFG4_NEUCR	tr|F7VR59|F7VR59_SORMK		Pa_1_4950|chrm1|Putative, Pa_5_2700|chrm5|Putative
OG0002815	tr|Q2HFS4|Q2HFS4_CHAGB	tr|Q7SCU9|Q7SCU9_NEUCR	tr|F7VLW9|F7VLW9_SORMK	tr|G0R9B2|G0R9B2_HYPJQ	Pa_1_10790|chrm1|Putative
OG0002816	tr|Q2HFY1|Q2HFY1_CHAGB	tr|Q7SFW7|Q7SFW7_NEUCR	tr|F7VXN8|F7VXN8_SORMK	tr|G0RMY7|G0RMY7_HYPJQ	Pa_1_11440|chrm1|Putative
OG0002817	tr|Q2HG18|Q2HG18_CHAGB	sp|Q03015|NDUS6_NEUCR	tr|F7VXK3|F7VXK3_SORMK	tr|G0RCG9|G0RCG9_HYPJQ	Pa_1_11820|chrm1|Putative
OG0002818	tr|Q2HG38|Q2HG38_CHAGB	tr|V5IRK1|V5IRK1_NEUCR	tr|F7VXH6|F7VXH6_SORMK	tr|G0RM74|G0RM74_HYPJQ	Pa_1_12030|chrm1|Putative
OG0002819	tr|Q2HGM9|Q2HGM9_CHAGB	tr|Q1K7T6|Q1K7T6_NEUCR	tr|F7W0M6|F7W0M6_SORMK	tr|G0R8Q9|G0R8Q9_HYPJQ	Pa_2_1190|chrm2|Putative
OG0002820	tr|Q2GM52|Q2GM52_CHAGB	tr|Q7S465|Q7S465_NEUCR	tr|F7VVS5|F7VVS5_SORMK	tr|G0RBE5|G0RBE5_HYPJQ	Pa_5_4350|chrm5|Putative
OG0002821	tr|Q2GM69|Q2GM69_CHAGB	tr|Q7S4G8|Q7S4G8_NEUCR	tr|F7VVU2|F7VVU2_SORMK	tr|G0RBZ1|G0RBZ1_HYPJQ	Pa_5_4470|chrm5|Putative
OG0002822	tr|Q2GMG8|Q2GMG8_CHAGB	sp|Q7S454|RTC5_NEUCR	sp|D1ZRF1|RTC5_SORMK	tr|G0RNG0|G0RNG0_HYPJQ	Pa_5_5300|chrm5|Putative
OG0002823	tr|Q2GNI8|Q2GNI8_CHAGB	sp|P49365|DHYS_NEUCR	tr|F7VZH7|F7VZH7_SORMK	tr|G0R8G9|G0R8G9_HYPJQ	Pa_3_9530|chrm3|Putative
OG0002824	sp|Q2GNN3|RRG9_CHAGB	sp|Q9P5T3|RRG9_NEUCR	sp|D1ZQ10|RRG9_SORMK	tr|G0RL29|G0RL29_HYPJQ	Pa_3_9330|chrm3|Putative
OG0002825	tr|Q2GQX4|Q2GQX4_CHAGB	sp|P00842|ATP9_NEUCR	tr|F7VVW8|F7VVW8_SORMK	tr|G0RIY1|G0RIY1_HYPJQ	Pa_5_9140|chrm5|ATP
OG0002826	tr|Q2GRU9|Q2GRU9_CHAGB	tr|Q7S625|Q7S625_NEUCR	tr|F7VWN2|F7VWN2_SORMK	tr|G0RU53|G0RU53_HYPJQ	Pa_4_5940|chrm4|Putative
OG0002827	tr|Q2GS72|Q2GS72_CHAGB	tr|V5IL09|V5IL09_NEUCR	tr|F7W653|F7W653_SORMK	tr|G0RNJ6|G0RNJ6_HYPJQ	Pa_4_6760|chrm4|Putative
OG0002828	sp|Q2GSA4|ACUK_CHAGB	sp|Q7RUA4|ACUK_NEUCR	sp|D1ZRZ5|ACUK_SORMK	tr|G0RN97|G0RN97_HYPJQ	Pa_4_8760|chrm4|Putative
OG0002829	tr|Q2GSK7|Q2GSK7_CHAGB	sp|P24917|NDUV1_NEUCR	tr|F7W7K9|F7W7K9_SORMK	tr|G0RPV1|G0RPV1_HYPJQ	Pa_4_7950|chrm4|Putative
OG0002830	tr|Q2GSV5|Q2GSV5_CHAGB	tr|Q7S6Q1|Q7S6Q1_NEUCR	tr|F7VW36|F7VW36_SORMK	tr|G0RWF8|G0RWF8_HYPJQ	Pa_4_9030|chrm4|Putative
OG0002831	tr|Q2GSY4|Q2GSY4_CHAGB	tr|V5ILY9|V5ILY9_NEUCR	tr|F7VW82|F7VW82_SORMK	tr|G0RIQ7|G0RIQ7_HYPJQ	Pa_4_9400|chrm4|Putative
OG0002832	tr|Q2GV32|Q2GV32_CHAGB	tr|Q1K508|Q1K508_NEUCR	tr|F7W804|F7W804_SORMK	tr|G0RA88|G0RA88_HYPJQ	Pa_6_3880|chrm6|Putative
OG0002833	tr|Q2GVQ5|Q2GVQ5_CHAGB	tr|F5HG81|F5HG81_NEUCR	tr|F7VPT8|F7VPT8_SORMK	tr|G0RF31|G0RF31_HYPJQ	Pa_3_8280|chrm3|Putative
OG0002834	tr|Q2GVS3|Q2GVS3_CHAGB	tr|Q1K8T7|Q1K8T7_NEUCR	tr|F7VPV9|F7VPV9_SORMK	tr|G0RL80|G0RL80_HYPJQ	Pa_3_9040|chrm3|Putative
OG0002835	tr|Q2GXC7|Q2GXC7_CHAGB	tr|Q7S1T5|Q7S1T5_NEUCR	tr|F7W2S4|F7W2S4_SORMK	tr|G0RVU0|G0RVU0_HYPJQ	Pa_2_4220|chrm2|Putative
OG0002836	tr|Q2GYF7|Q2GYF7_CHAGB	tr|Q1K6S1|Q1K6S1_NEUCR	tr|F7W406|F7W406_SORMK	tr|G0RWQ9|G0RWQ9_HYPJQ	Pa_2_12960|chrm2|Putative
OG0002837	tr|Q2GZU2|Q2GZU2_CHAGB	tr|Q7S937|Q7S937_NEUCR	tr|F7VMJ9|F7VMJ9_SORMK	tr|G0RLK9|G0RLK9_HYPJQ	Pa_3_1370|chrm3|het-c2S
OG0002838	tr|Q2H006|Q2H006_CHAGB	tr|Q7RZ90|Q7RZ90_NEUCR	tr|F7VRS8|F7VRS8_SORMK	tr|G0RA54|G0RA54_HYPJQ	Pa_3_3630|chrm3|Putative
OG0002839	tr|Q2H0R8|Q2H0R8_CHAGB	tr|Q7S9J9|Q7S9J9_NEUCR	tr|F7VN86|F7VN86_SORMK	tr|G0R9M3|G0R9M3_HYPJQ	Pa_6_2820|chrm6|Putative
OG0002840	tr|Q2H0T6|Q2H0T6_CHAGB	tr|Q7S828|Q7S828_NEUCR	tr|F7VNA3|F7VNA3_SORMK	tr|G0RB25|G0RB25_HYPJQ	Pa_6_2700|chrm6|Putative
OG0002841	tr|Q2H0W7|Q2H0W7_CHAGB	tr|Q7SAL5|Q7SAL5_NEUCR	tr|F7W001|F7W001_SORMK	tr|G0RAD9|G0RAD9_HYPJQ	Pa_6_2090|chrm6|Putative
OG0002842	tr|Q2H1H2|Q2H1H2_CHAGB	tr|Q7S940|Q7S940_NEUCR	tr|F7VN53|F7VN53_SORMK	tr|G0RSZ3|G0RSZ3_HYPJQ	Pa_6_9180|chrm6|Putative
OG0002843	tr|Q2H1T4|Q2H1T4_CHAGB	tr|Q7RYC2|Q7RYC2_NEUCR	tr|F7VMB5|F7VMB5_SORMK	tr|G0RTQ6|G0RTQ6_HYPJQ	Pa_6_6770|chrm6|Putative
OG0002844	tr|Q2H2W6|Q2H2W6_CHAGB	tr|Q7S9V5|Q7S9V5_NEUCR	tr|F7VNP4|F7VNP4_SORMK	tr|G0RLA2|G0RLA2_HYPJQ	Pa_1_22690|chrm1|Putative
OG0002845	tr|Q2H4J8|Q2H4J8_CHAGB	tr|Q7SE49|Q7SE49_NEUCR	tr|F7VUS3|F7VUS3_SORMK	tr|G0RMM8|G0RMM8_HYPJQ	Pa_1_20100|chrm1|Putative
OG0002846	tr|Q2H607|Q2H607_CHAGB	tr|Q7RUY7|Q7RUY7_NEUCR	tr|F7VL83|F7VL83_SORMK	tr|G0RD52|G0RD52_HYPJQ	Pa_1_18570|chrm1|Putative
OG0002847	tr|Q2H972|Q2H972_CHAGB	tr|Q7RZU1|Q7RZU1_NEUCR	tr|F7VYB8|F7VYB8_SORMK	tr|G0RRV6|G0RRV6_HYPJQ	Pa_7_5460|chrm7|Putative
OG0002848	tr|Q2H984|Q2H984_CHAGB	tr|Q7S305|Q7S305_NEUCR	tr|F7VSI2|F7VSI2_SORMK	tr|G0R7B8|G0R7B8_HYPJQ	Pa_7_7740|chrm7|Putative
OG0002849	tr|Q2H9V4|Q2H9V4_CHAGB	tr|Q7RY80|Q7RY80_NEUCR	tr|F7VK73|F7VK73_SORMK	tr|G0RX06|G0RX06_HYPJQ	Pa_7_5410|chrm7|Putative
OG0002850	tr|Q2HA80|Q2HA80_CHAGB	tr|Q7SBI2|Q7SBI2_NEUCR	tr|F7W3N5|F7W3N5_SORMK	tr|G0RD21|G0RD21_HYPJQ	Pa_7_2190|chrm7|Putative
OG0002851	tr|Q2HBM0|Q2HBM0_CHAGB	tr|Q7SET0|Q7SET0_NEUCR	tr|F7VQQ0|F7VQQ0_SORMK	tr|G0RFS3|G0RFS3_HYPJQ	Pa_5_12830|chrm5|Putative
OG0002852	sp|Q2HD63|3HAO_CHAGB	sp|Q7SDX3|3HAO_NEUCR	tr|F7VY31|F7VY31_SORMK	tr|G0RXI9|G0RXI9_HYPJQ	Pa_1_4230|chrm1|Putative
OG0002853	tr|Q2HDF1|Q2HDF1_CHAGB	tr|Q7S2H9|Q7S2H9_NEUCR	tr|F7VKT7|F7VKT7_SORMK	tr|G0RN64|G0RN64_HYPJQ	Pa_1_3270|chrm1|Putative
OG0002854	tr|Q2HH68|Q2HH68_CHAGB	tr|Q7S4P9|Q7S4P9_NEUCR	tr|F7VVC9|F7VVC9_SORMK	tr|G0RHV0|G0RHV0_HYPJQ	Pa_5_5730|chrm5|Putative
OG0002855	tr|Q2GN38|Q2GN38_CHAGB	tr|V5INS1|V5INS1_NEUCR	tr|F7VQ43|F7VQ43_SORMK	tr|G0RPD9|G0RPD9_HYPJQ	Pa_3_10560|chrm3|Putative
